lx	8
t_parallel	0.02
t_perp	0.01
interaction	0
mu	1
mpps	4
beta	10
thermalization	10000
simulation	100000
seed	324563469
density	1.44322	0.000765479
energy	-1.02005	0.000676484
rhosTT	-0.0231352	0.00173358
rhosTB	0.0231998	0.00174333
rhos	0.000257422	2.99255e-05
compressibility	2.3505	0.0464646
